date_ad	campaign
2000-01-03	Art with an attitude.
2000-01-16	Art with an attitude.
2000-02-17	Art with an attitude.
2000-02-18	Art with an attitude.
2000-02-26	Art with an attitude.
2000-03-08	Art with an attitude.
2000-03-11	Art with an attitude.
2000-03-21	Art with an attitude.
2000-04-01	Art with an attitude.
2000-04-17	Art with an attitude.
2000-05-19	Art with an attitude.
2000-05-25	Art with an attitude.
2000-06-01	Art with an attitude.
2000-06-03	Art with an attitude.
2000-06-05	Art with an attitude.
2000-06-10	Art with an attitude.
2000-06-20	Art with an attitude.
2000-06-30	Art with an attitude.
2000-07-10	Art with an attitude.
2000-07-14	Art with an attitude.
2000-07-21	Art with an attitude.
2000-07-22	Art with an attitude.
2000-08-24	Art with an attitude.
2000-08-30	Art with an attitude.
2000-09-02	Art with an attitude.
2000-09-17	Art with an attitude.
2000-09-21	Art with an attitude.
2000-09-27	Art with an attitude.
2000-10-10	Art with an attitude.
2000-10-20	Art with an attitude.
2000-11-16	Art with an attitude.
2000-11-19	Art with an attitude.
2000-12-01	Art with an attitude.
2000-12-11	Art with an attitude.
2000-12-21	Art with an attitude.
2000-12-22	Art with an attitude.
2000-12-29	Art with an attitude.
2001-01-02	Art with an attitude.
2001-01-05	Art with an attitude.
2001-01-08	Art with an attitude.
2001-01-09	Art with an attitude.
2001-01-10	Art with an attitude.
2001-01-19	Art with an attitude.
2001-01-26	Art with an attitude.
2001-01-30	Art with an attitude.
2001-02-18	Art with an attitude.
2001-02-20	Art with an attitude.
2001-02-21	Art with an attitude.
2001-03-06	Art with an attitude.
2001-03-23	Art with an attitude.
2001-03-28	Art with an attitude.
2001-04-08	Art with an attitude.
2001-04-11	Art with an attitude.
2001-04-19	Art with an attitude.
2001-04-20	Art with an attitude.
2001-04-24	Art with an attitude.
2001-05-27	Art with an attitude.
2001-06-02	Art with an attitude.
2001-06-08	Art with an attitude.
2001-06-25	Art with an attitude.
2001-07-15	Art with an attitude.
2001-07-21	Art with an attitude.
2001-07-22	Art with an attitude.
2001-07-29	Art with an attitude.
2001-08-14	Art with an attitude.
2001-08-15	Art with an attitude.
2001-08-21	Art with an attitude.
2001-09-02	Art with an attitude.
2001-09-04	Art with an attitude.
2001-09-15	Art with an attitude.
2001-09-29	Art with an attitude.
2001-10-17	Art with an attitude.
2001-10-18	Art with an attitude.
2001-10-29	Art with an attitude.
2001-11-03	Art with an attitude.
2001-11-11	Art with an attitude.
2001-11-26	Art with an attitude.
2001-11-29	Art with an attitude.
2001-12-02	Art with an attitude.
2001-12-08	Art with an attitude.
2001-12-11	Art with an attitude.
2001-12-16	Art with an attitude.
2001-12-18	Art with an attitude.
2001-12-20	Art with an attitude.
2001-12-21	Art with an attitude.
2001-12-30	Art with an attitude.
2002-01-14	Art with an attitude.
2002-01-21	Art with an attitude.
2002-01-24	Art with an attitude.
2002-01-28	Art with an attitude.
2002-01-29	Art with an attitude.
2002-01-31	Art with an attitude.
2002-02-18	Art with an attitude.
2002-02-19	Art with an attitude.
2002-02-22	Art with an attitude.
2002-02-25	Art with an attitude.
2002-03-02	Art with an attitude.
2002-03-08	Art with an attitude.
2002-03-16	Art with an attitude.
2002-03-31	Art with an attitude.
2002-04-18	Art with an attitude.
2002-04-19	Art with an attitude.
2002-05-12	Art with an attitude.
2002-05-24	Art with an attitude.
2002-06-04	Art with an attitude.
2002-06-15	Art with an attitude.
2002-06-26	Art with an attitude.
2002-07-01	Art with an attitude.
2002-07-21	Art with an attitude.
2002-07-31	Art with an attitude.
2002-08-12	Art with an attitude.
2002-08-18	Art with an attitude.
2002-09-03	Art with an attitude.
2002-09-09	Art with an attitude.
2002-09-22	Art with an attitude.
2002-09-27	Art with an attitude.
2002-10-20	Art with an attitude.
2002-11-02	Art with an attitude.
2002-11-04	Art with an attitude.
2002-11-08	Art with an attitude.
2002-11-20	Art with an attitude.
2002-11-25	Art with an attitude.
2002-12-01	Art with an attitude.
2002-12-08	Art with an attitude.
2002-12-10	Art with an attitude.
2002-12-15	Art with an attitude.
2002-12-24	Art with an attitude.
2003-01-03	Art with an attitude.
2003-01-08	Art with an attitude.
2003-01-15	Art with an attitude.
2003-01-19	Art with an attitude.
2003-01-25	Art with an attitude.
2003-02-02	Art with an attitude.
2003-02-08	Art with an attitude.
2003-02-25	Art with an attitude.
2003-04-03	Art with an attitude.
2003-05-10	Art with an attitude.
2003-05-15	Art with an attitude.
2003-05-16	Art with an attitude.
2003-05-21	Art with an attitude.
2003-05-24	Art with an attitude.
2003-07-05	Art with an attitude.
2003-07-09	Art with an attitude.
2003-08-01	Art with an attitude.
2003-08-12	Art with an attitude.
2003-09-01	Art with an attitude.
2003-09-27	Art with an attitude.
2003-09-30	Art with an attitude.
2003-10-06	Art with an attitude.
2003-10-12	Art with an attitude.
2003-10-19	Art with an attitude.
2003-11-07	Art with an attitude.
2003-11-25	Art with an attitude.
2003-12-03	Art with an attitude.
2003-12-08	Art with an attitude.
2003-12-09	Art with an attitude.
2003-12-20	Art with an attitude.
2003-12-21	Art with an attitude.
2003-12-22	Art with an attitude.
2003-12-28	Art with an attitude.
2004-01-09	Art with an attitude.
2004-02-06	Art with an attitude.
2004-02-14	Art with an attitude.
2004-02-15	Art with an attitude.
2004-02-18	Art with an attitude.
2004-03-02	Art with an attitude.
2004-03-19	Art with an attitude.
2004-03-21	Art with an attitude.
2004-03-22	Art with an attitude.
2004-04-06	Art with an attitude.
2004-04-22	Art with an attitude.
2004-04-27	Art with an attitude.
2004-05-04	Art with an attitude.
2004-05-07	Art with an attitude.
2004-05-15	Art with an attitude.
2004-06-12	Art with an attitude.
2004-06-16	Art with an attitude.
2004-06-25	Art with an attitude.
2004-07-08	Art with an attitude.
2004-07-13	Art with an attitude.
2004-07-16	Art with an attitude.
2004-07-29	Art with an attitude.
2004-07-30	Art with an attitude.
2004-08-13	Art with an attitude.
2004-08-18	Art with an attitude.
2004-08-25	Art with an attitude.
2004-08-28	Art with an attitude.
2004-09-03	Art with an attitude.
2004-09-06	Art with an attitude.
2004-09-25	Art with an attitude.
2004-10-02	Art with an attitude.
2004-10-04	Art with an attitude.
2004-10-06	Art with an attitude.
2004-11-15	Art with an attitude.
2004-11-16	Art with an attitude.
2004-12-10	Art with an attitude.
2004-12-11	Art with an attitude.
2004-12-18	Art with an attitude.
