productid	date	discountprice
1	2002-09-23	125.43
1	2005-01-02	164.55
2	2000-04-09	239.68
2	2007-03-23	208.72
3	2009-10-05	183.21
3	2010-02-09	123.80
4	2001-12-05	225.27
4	2010-03-12	296.41
5	2000-05-24	178.23
5	2000-09-05	178.23
5	2002-10-20	178.23
5	2006-02-02	178.23
5	2012-01-20	173.12
6	2003-11-03	131.02
6	2005-06-30	163.95
7	2001-03-16	146.45
7	2003-04-15	169.85
7	2004-08-15	140.76
7	2006-06-16	161.85
7	2012-05-31	117.84
8	2001-01-29	214.44
9	2001-04-02	6.10
9	2001-08-14	7.90
9	2004-01-27	6.73
9	2006-07-14	9.57
10	2001-06-11	109.22
10	2005-10-10	109.22
10	2007-03-25	109.22
10	2010-09-19	109.22
10	2011-08-17	109.22
11	2004-07-29	150.76
11	2006-02-22	116.97
12	2001-04-20	93.93
12	2001-09-15	68.57
13	2001-08-12	325.43
14	2002-06-06	269.73
14	2007-02-14	333.12
15	2002-10-18	306.66
15	2004-03-31	350.16
16	2000-03-12	418.52
16	2000-11-10	385.74
16	2004-09-11	418.52
17	2001-05-09	414.42
17	2002-06-03	414.42
17	2006-02-03	414.42
17	2009-01-24	414.42
17	2011-05-02	414.42
18	2000-08-17	95.94
18	2002-10-10	106.09
18	2003-11-19	110.77
18	2005-09-28	103.69
18	2009-10-29	119.55
19	2001-02-15	242.09
19	2004-12-16	238.21
20	2000-05-31	179.12
20	2001-01-11	202.24
20	2001-03-12	155.99
21	2000-06-25	156.48
21	2001-04-29	218.83
21	2002-02-21	149.20
22	2001-05-22	391.47
23	2003-01-12	193.09
24	2002-12-25	151.10
24	2005-07-11	238.02
24	2011-01-31	188.92
25	2003-02-15	199.04
25	2010-11-20	199.04
25	2011-05-26	199.04
26	2003-06-27	46.97
26	2007-06-29	40.06
26	2007-12-20	51.35
27	2003-04-28	187.28
27	2003-08-10	192.90
27	2004-11-26	126.69
27	2009-02-11	153.75
28	2000-10-21	99.36
28	2002-04-03	61.48
28	2003-01-25	87.17
29	2000-05-21	467.78
30	2004-06-20	239.61
31	2003-01-03	55.81
31	2003-04-30	43.71
31	2003-05-02	54.35
32	2000-09-15	32.00
32	2004-10-06	30.76
32	2008-01-12	33.61
32	2010-01-20	37.87
32	2011-06-06	36.96
33	2000-02-17	258.46
33	2002-11-06	245.84
33	2004-04-01	253.57
33	2006-05-15	242.28
33	2012-02-27	250.43
34	2002-10-24	227.52
34	2002-11-19	223.93
34	2007-02-09	261.90
35	2001-12-20	124.20
35	2003-03-22	126.19
35	2006-06-19	126.19
35	2008-06-23	126.19
35	2009-05-09	117.80
36	2000-05-26	115.17
36	2002-07-25	77.70
36	2004-08-23	73.68
36	2004-10-18	83.04
37	2001-05-27	49.95
37	2002-12-24	60.40
37	2003-08-06	56.82
37	2007-07-25	56.98
38	2000-07-22	317.54
38	2007-07-10	336.50
39	2002-06-13	107.32
39	2004-08-04	105.12
39	2004-09-04	85.11
39	2006-04-26	102.08
40	2001-01-24	14.63
40	2002-01-06	19.89
40	2006-10-15	13.87
40	2008-06-26	21.69
40	2010-05-31	7.28
41	2005-03-31	438.21
41	2007-09-24	438.21
42	2004-08-24	208.94
42	2006-08-09	308.18
43	2002-11-07	65.71
43	2009-06-02	94.76
43	2011-02-28	91.99
44	2005-05-18	161.53
45	2000-12-22	94.39
45	2004-10-30	94.39
46	2007-04-23	83.73
47	2001-10-02	180.18
47	2006-04-05	168.62
47	2010-08-28	94.79
48	2004-05-30	195.02
49	2002-08-30	302.69
49	2007-11-06	302.69
50	2001-06-19	430.23
50	2003-07-02	395.91
50	2004-07-08	382.29
50	2006-02-22	417.13
51	2004-08-05	206.56
51	2004-08-23	206.56
51	2005-05-11	206.56
52	2000-01-15	82.35
52	2002-03-13	60.88
52	2002-10-28	51.68
52	2003-08-16	70.11
52	2007-05-17	68.61
53	2001-06-16	191.61
53	2009-12-25	218.57
54	2003-08-29	53.93
54	2004-01-17	48.30
54	2007-03-20	51.19
54	2009-11-06	47.24
55	2005-06-09	253.13
55	2007-02-20	155.67
55	2008-05-22	288.36
55	2011-07-30	261.99
55	2011-12-29	153.01
56	2002-08-29	299.16
56	2005-02-06	299.16
57	2004-02-06	127.61
57	2007-03-29	256.65
57	2012-03-15	197.63
58	2001-08-21	125.38
58	2003-12-27	95.01
58	2010-10-13	65.41
59	2002-02-13	195.50
59	2003-03-02	127.31
60	2002-01-03	88.38
60	2004-01-12	91.79
60	2008-04-12	62.80
60	2011-11-30	84.20
61	2001-02-11	88.67
61	2002-09-19	190.87
62	2002-03-09	37.31
62	2002-09-26	27.95
63	2002-06-14	260.52
63	2005-03-28	260.52
64	2005-03-19	95.62
64	2006-03-26	135.42
64	2007-06-21	76.93
65	2001-03-08	4.91
65	2002-08-09	5.77
65	2006-03-17	6.70
66	2000-11-15	217.17
67	2002-06-25	249.27
67	2007-01-09	185.01
67	2008-02-17	239.25
68	2000-05-31	451.45
68	2004-09-17	423.51
69	2000-03-22	75.55
69	2006-05-05	124.27
69	2009-03-17	110.54
70	2001-07-01	141.23
70	2002-11-06	141.23
70	2003-04-12	141.23
70	2004-03-21	141.23
70	2004-11-26	141.23
70	2010-11-03	141.23
71	2001-03-05	112.49
71	2011-09-20	158.64
72	2003-11-18	46.89
72	2008-01-03	45.28
73	2000-01-23	35.64
73	2001-11-09	30.61
73	2003-01-28	24.56
73	2005-10-16	38.16
74	2000-03-06	122.83
74	2003-04-01	71.27
75	2003-06-17	341.13
75	2008-09-09	341.13
75	2010-12-15	336.71
76	2000-12-13	184.13
76	2001-03-29	243.91
76	2002-04-30	267.49
76	2011-07-20	206.10
77	2004-12-19	231.95
78	2000-11-17	48.69
78	2004-04-02	42.16
78	2005-11-13	43.34
78	2011-05-07	49.65
79	2003-06-04	275.07
79	2004-11-27	323.84
79	2012-04-18	323.84
80	2000-11-13	201.88
80	2012-05-27	140.87
81	2000-11-17	110.86
81	2007-01-16	149.92
81	2007-12-15	121.31
81	2009-06-08	144.72
82	2000-12-20	301.83
82	2012-03-18	225.63
83	2003-04-29	217.83
83	2005-09-30	220.09
84	2001-01-12	43.88
84	2004-12-12	54.87
84	2006-11-24	42.45
85	2002-03-28	27.59
85	2006-10-13	29.36
85	2007-05-23	26.33
86	2001-03-19	470.57
86	2005-09-29	452.54
86	2006-08-12	470.57
87	2003-05-22	133.45
87	2004-01-19	196.83
87	2009-12-01	175.29
87	2011-01-26	182.32
88	2000-07-22	93.95
88	2004-11-03	78.08
88	2006-02-14	54.58
89	2000-02-09	433.81
89	2000-05-24	392.94
89	2005-07-21	333.48
90	2000-05-12	322.03
90	2005-05-01	322.03
90	2007-08-11	322.03
91	2006-04-17	310.02
92	2003-06-12	266.15
92	2007-04-10	252.12
93	2006-02-01	61.01
93	2009-09-05	52.11
94	2001-02-18	5.45
94	2001-02-20	5.45
94	2005-03-08	4.89
95	2000-01-14	74.19
95	2007-02-16	74.19
95	2008-09-01	64.99
96	2003-04-28	298.57
96	2006-02-23	205.74
96	2010-09-30	288.21
97	2000-01-20	70.80
97	2000-06-28	67.38
97	2000-08-08	49.50
97	2005-05-30	64.89
97	2007-10-03	69.38
97	2009-06-29	45.69
98	2001-10-19	234.48
98	2004-01-06	134.17
98	2005-08-27	162.60
99	2000-07-30	71.13
100	2005-01-07	103.37
100	2006-12-17	57.42
100	2011-02-03	46.27
101	2000-01-11	120.85
101	2000-03-29	83.14
101	2000-10-19	87.86
102	2005-12-25	196.90
102	2010-11-02	133.54
103	2003-06-06	108.19
103	2006-05-01	125.89
103	2009-02-08	105.13
103	2010-10-03	116.58
104	2003-11-21	150.30
105	2001-11-20	71.67
105	2007-04-08	60.76
105	2008-11-18	54.47
106	2001-01-20	52.60
106	2002-11-09	76.55
106	2003-07-25	38.51
106	2007-05-13	33.26
106	2007-11-14	69.79
106	2009-03-16	62.72
107	2001-02-08	27.11
107	2005-05-20	18.80
108	2000-04-26	80.94
108	2012-05-19	84.81
109	2000-09-11	258.56
109	2006-02-20	258.56
109	2011-08-15	258.56
110	2002-01-25	26.32
110	2006-01-28	23.72
110	2007-04-11	28.56
111	2001-05-05	43.54
111	2006-04-02	51.47
112	2001-02-08	303.37
112	2003-04-11	362.42
112	2006-09-03	279.75
112	2010-08-14	333.39
113	2005-07-29	8.80
113	2007-03-14	8.80
113	2009-10-22	8.80
113	2012-05-27	8.80
114	2000-09-19	28.94
114	2003-02-26	18.05
114	2005-05-26	13.83
115	2001-05-14	172.61
115	2002-07-13	83.31
115	2002-10-29	209.34
115	2004-02-07	189.92
115	2004-03-26	107.94
115	2011-10-01	149.50
116	2009-09-06	96.85
117	2003-04-20	262.76
117	2007-05-18	262.76
118	2000-07-17	202.08
118	2003-08-25	202.08
119	2002-07-23	210.29
119	2003-07-02	208.67
119	2006-03-24	210.29
119	2012-03-24	210.29
120	2000-08-18	32.10
120	2001-10-14	26.88
120	2007-10-19	26.42
121	2000-08-04	256.98
122	2002-01-08	154.37
122	2005-01-15	145.51
123	2002-07-12	5.20
123	2012-03-24	5.20
124	2005-11-22	137.02
124	2006-01-06	126.79
124	2010-06-05	167.11
124	2010-08-26	133.77
125	2002-08-08	151.69
125	2006-05-12	143.20
125	2011-03-10	155.48
126	2000-07-11	366.35
126	2007-11-04	457.80
127	2002-04-06	161.02
128	2001-06-18	71.58
128	2004-03-01	63.42
128	2006-07-02	68.22
128	2008-01-23	62.10
128	2008-04-11	71.67
129	2003-08-13	256.95
129	2005-04-25	256.95
129	2010-07-31	205.08
130	2002-05-03	414.79
130	2003-02-12	488.12
130	2009-04-13	494.67
131	2000-04-05	209.60
131	2007-12-16	216.67
132	2000-06-26	301.11
132	2001-12-19	248.58
132	2002-12-24	301.11
132	2003-05-27	301.11
132	2003-06-02	256.33
133	2002-10-01	165.82
133	2006-12-11	160.57
134	2000-08-26	14.24
134	2002-05-17	13.59
134	2003-07-13	12.65
134	2005-03-30	15.90
134	2008-02-08	16.99
135	2002-07-04	8.32
135	2009-10-19	22.72
136	2001-02-23	252.25
136	2005-10-22	224.04
136	2007-12-21	248.01
136	2008-11-24	248.26
137	2000-02-19	130.42
137	2001-02-20	104.48
137	2001-10-17	145.59
137	2002-10-19	151.33
137	2002-12-26	112.20
138	2002-04-09	168.53
138	2006-05-24	168.53
138	2010-04-21	168.53
139	2003-01-07	255.27
139	2005-05-06	240.90
139	2008-08-04	175.58
140	2000-02-21	389.53
140	2004-12-05	389.53
140	2010-03-13	389.53
141	2005-02-22	436.09
142	2003-12-26	398.15
142	2011-09-08	398.15
143	2000-10-12	257.97
143	2004-04-15	202.05
143	2006-03-25	229.72
144	2002-02-16	233.65
144	2007-07-06	222.84
144	2010-04-27	178.71
144	2012-05-29	131.78
146	2002-03-10	422.41
146	2004-05-04	422.41
146	2004-09-09	422.41
146	2006-09-03	422.41
147	2004-01-19	209.91
147	2011-03-21	184.86
148	2004-07-05	24.58
149	2007-05-14	111.17
150	2001-06-10	424.83
150	2006-07-01	424.83
151	2001-11-30	69.69
151	2004-04-07	69.38
151	2007-06-27	58.66
151	2011-08-13	59.65
152	2000-07-12	265.17
152	2000-07-23	240.48
152	2008-03-04	227.27
153	2002-12-06	57.18
153	2004-04-12	26.84
153	2005-07-22	96.17
154	2001-04-23	275.07
155	2002-11-21	167.19
155	2005-05-03	96.05
155	2006-04-19	109.52
155	2007-03-05	170.42
155	2008-05-05	104.69
155	2012-02-20	143.00
156	2001-06-22	470.73
156	2002-07-10	480.89
156	2007-06-12	480.89
156	2008-02-23	480.89
156	2008-07-05	480.89
156	2010-12-16	480.89
157	2000-03-27	398.06
157	2001-11-06	398.06
157	2003-07-20	398.06
157	2004-02-28	398.06
157	2010-06-11	398.06
157	2011-02-21	398.06
158	2003-05-16	164.29
158	2005-12-08	236.84
158	2007-03-15	183.10
159	2002-11-21	266.43
159	2003-03-15	239.56
159	2012-03-16	241.26
160	2001-11-10	97.28
160	2003-10-15	93.87
161	2003-05-07	182.56
161	2007-10-10	175.80
