productid	name	retailprice
1	Zeejubin	258.36
2	Varpickilower	314.78
3	Unwerplar	256.45
4	Parfropollin	472.04
5	Inkilentor	180.03
6	Haphupentor	203.67
7	Rapsipover	236.80
8	Tupdimower	260.15
9	Gronipicistor	14.12
10	Trumunentor	110.32
11	Rapdudollistor	325.25
12	Surhupin	95.75
13	Resapollan	328.72
14	Fromunan	350.20
15	Doperimax	390.43
16	Barglibin	422.75
17	Emtanicazz	418.61
18	Uncadar	195.87
19	Trutumplex	386.15
20	Recadicentor	287.23
21	Supdimantor	249.83
22	Montanefistor	456.17
23	Lomtumefower	379.16
24	Zeewerpegazz	421.45
25	Suppebistor	201.05
26	Barhupadan	75.09
27	Tupzapinar	224.96
28	Supwerpin	139.07
29	Parrobommar	497.00
30	Kliglibplan	255.18
31	Cipzapplistor	96.57
32	Inkililantor	41.04
33	Emkilegover	263.48
34	Unpickantor	372.71
35	Wintinan	127.46
36	Thruzapantor	248.77
37	Varhupadover	148.16
38	Doptinan	364.04
39	Dopbanplover	110.45
40	Qwiweran	53.66
41	Supdimazz	442.64
42	Endbanin	356.73
43	Repickaquax	205.98
44	Zeerobex	330.01
45	Tiptumegicator	95.34
46	Supquestegistor	491.57
47	Adsapupicator	362.34
48	Grotumommover	391.06
49	Winzapefor	305.75
50	Cipglibin	437.98
51	Recadex	208.65
52	Endvenefover	121.25
53	Qwinipefover	236.18
54	Klisapewan	105.75
55	Bareredgover	420.96
56	Surpickantor	302.18
57	Winmunex	435.62
58	Uptanex	335.00
59	Thrufropan	271.99
60	Winwerpefan	105.95
61	Monmunedgover	478.72
62	Admunex	98.73
63	Lompickicantor	263.15
64	Uncadaquan	258.94
65	Unbanomman	14.74
66	Parpebicator	285.21
67	Adhupedicator	332.27
68	Hapdimefazz	456.01
69	Trukilegistor	223.74
70	Thruzapimentor	142.66
71	Zeegliban	275.59
72	Qwitumadantor	55.58
73	Unquestupan	86.43
74	Undimican	333.50
75	Lompickex	344.58
76	Hapnipex	393.10
77	Grovenan	251.19
78	Rekilicin	50.15
79	Tupwerax	327.11
80	Thruwerommex	209.48
81	Tiperopan	212.75
82	Unwerentor	333.90
83	Reglibicator	333.32
84	Upsapewan	60.03
85	Zeepebazz	47.53
86	Varhupamex	475.32
87	Incadedgar	304.86
88	Moncadover	158.73
89	Frotanover	451.76
90	Groglibax	325.28
91	Tupvenicator	313.15
92	Inwerefistor	313.17
93	Endtumax	93.05
94	Tiprobex	5.50
95	Supsipamicator	74.94
96	Dopzapewazz	344.91
97	Partumilax	94.58
98	Trusapupentor	447.04
99	Frobanimor	316.27
100	Surglibewistor	310.13
101	Rapdiman	160.30
102	Tipquestazz	406.33
103	Tipquestover	168.32
104	Endwerpedgax	164.09
105	Doppebantor	163.39
106	Cipmunilantor	154.07
107	Klicadackicator	35.83
108	Supjubamazz	402.69
109	Cipvenopex	261.17
110	Suptanover	28.85
111	Monsapanex	51.99
112	Hapwerpor	386.48
113	Upkilar	8.89
114	Enddudefin	63.51
115	Gropickedicator	393.20
116	Qwifropepicator	145.82
117	Tuphupentor	265.41
118	Tiprobilax	204.12
119	Thrutanor	212.41
