productid	categoryname
1	Sword furniture
1	Occasional furniture
2	Outdoor Furniture
2	Metal furniture
3	Park furniture 
3	Street furniture
3	Bedrooms
4	Storage
5	Couches and Sofas
5	Aquarium furniture
5	Occasional furniture
6	Sleeping or laying
6	Entertainment
7	Tables
7	Glass furniture
8	Metal furniture
9	Glass furniture
9	Occasional furniture
10	Bar furniture
11	Wicker or rattan furniture
11	Decorative arts
12	Sword furniture
13	Bar furniture
14	Door furniture
14	Casegoods
15	Decorative arts
16	Door furniture
17	Sets
17	Bamboo furniture
18	Decorative arts
19	Storage
19	Wicker or rattan furniture
20	Hutch
21	Park furniture 
22	Stadium seating
22	Bedrooms
23	Stadium seating
23	Wood finishing
24	Aquarium furniture
24	Childrens furniture
24	Occasional furniture
25	Concrete furniture
25	Wood finishing
26	Storage
26	Bamboo furniture
27	Metal furniture
28	Aquarium furniture
28	Street furniture
29	Childrens furniture
30	Storage
30	Bamboo furniture
31	Bar furniture
31	Street furniture
32	Storage
33	Aquarium furniture
33	Wood finishing
34	Aquarium furniture
34	Occasional furniture
35	Childrens furniture
36	Sets
36	Wicker or rattan furniture
36	Childrens furniture
37	Concrete furniture
37	Hutch
37	Park furniture 
38	Wicker or rattan furniture
39	Occasional furniture
40	Entertainment
40	Couches and Sofas
41	Couches and Sofas
41	Casegoods
42	Bedrooms
42	Casegoods
43	Door furniture
44	Storage
45	Couches and Sofas
46	Sleeping or laying
46	Entertainment
46	Decorative arts
47	Wooden furniture
47	Aquarium furniture
48	Outdoor Furniture
48	Door furniture
48	Stadium seating
49	Sleeping or laying
49	Storage
50	Storage
50	Couches and Sofas
50	Park furniture 
51	Bamboo furniture
52	Tables
52	Childrens furniture
52	Street furniture
53	Bamboo furniture
54	Wooden furniture
54	Occasional furniture
55	Outdoor Furniture
55	Childrens furniture
56	Couches and Sofas
56	Bar furniture
56	Decorative arts
57	Sword furniture
58	Living room
59	Door furniture
59	Occasional furniture
60	Concrete furniture
61	Couches and Sofas
61	List of chairs
62	Outdoor Furniture
62	Living room
62	List of chairs
63	Sleeping or laying
63	Tables
63	Park furniture 
64	Metal furniture
64	Park furniture 
64	Street furniture
65	Glass furniture
65	List of chairs
66	Entertainment
67	Glass furniture
67	Bar furniture
68	Wooden furniture
68	Bamboo furniture
68	Wicker or rattan furniture
69	Outdoor Furniture
70	Park furniture 
70	List of chairs
71	Metal furniture
72	Decorative arts
73	Wicker or rattan furniture
73	Metal furniture
73	List of chairs
74	Metal furniture
75	Tables
75	Sets
75	Concrete furniture
76	Outdoor Furniture
77	Hutch
77	Stadium seating
78	Sword furniture
79	Sleeping or laying
79	Glass furniture
79	Park furniture 
80	Door furniture
80	List of chairs
81	Childrens furniture
82	Hutch
82	Park furniture 
83	Hutch
84	Tables
85	Park furniture 
85	Living room
86	Wicker or rattan furniture
86	Decorative arts
87	Wicker or rattan furniture
88	Entertainment
89	Wooden furniture
89	Glass furniture
89	Stadium seating
90	Glass furniture
91	Entertainment
91	Bar furniture
91	Door furniture
92	Bedrooms
92	Casegoods
93	Wooden furniture
93	Couches and Sofas
93	List of chairs
94	Wicker or rattan furniture
94	Hutch
94	Bedrooms
95	Aquarium furniture
95	List of chairs
96	Concrete furniture
96	Stadium seating
97	Glass furniture
97	Door furniture
97	Park furniture 
98	Concrete furniture
99	Entertainment
