storeid	phone	address	cityname	state	restaurant	snackbar	childcare_time
1	(239) 167-4627	78 Fabien Freeway	Oakland	NH	1	1	45
2	(744) 032-1717	29 West Milton St.	New Orleans	IN	1	1	45
3	544-510-8934	271 Fabien Parkway	Lubbock	IL	1	1	30
4	340-264-5348	444 North Rocky Milton Avenue	Cleveland	CT	0	1	
5	(111) 026-2512	97 Hague Blvd.	Tampa	NE	1	1	
6	(648) 797-7659	60 West Fabien Avenue	Arlington	KS	0	1	30
7	(812) 897-8043	835 Cowley Street	Garland	IA	1	1	30
8	243-660-5913	35 West First St.	Tacoma	IL	0	0	30
9	(448) 170-3541	912 First Freeway	New York	VT	1	1	60
10	(670) 344-3433	33 Nobel Blvd.	Austin	AR	1	1	45
11	635-622-1428	430 Nobel Parkway	Albuquerque	WV	0	1	30
12	(185) 614-8708	11 Second Way	Washington	ME	1	0	30
13	036-923-0948	773 North Rocky Milton Parkway	Norfolk	FL	1	1	
14	651-230-9877	677 West White First Blvd.	Greensboro	MO	1	0	
15	(473) 203-7499	100 South First Boulevard	Cleveland	IL	1	0	
16	750-420-5566	49 West Green New Boulevard	Arlington	WA	0	1	
17	(489) 944-6657	126 West Rocky Hague Way	Louisville	ID	0	1	
18	864-597-7021	54 White Hague Street	Des Moines	RI	0	1	30
19	171-872-5703	83 West New Way	Omaha	MS	1	1	60
20	932-314-1312	38 Milton Way	Hialeah	HI	1	0	30
21	099-520-5981	878 Rocky First Blvd.	Bakersfield	CA	1	0	45
22	172-213-7577	62 Green New Freeway	Lincoln	TX	1	1	30
23	674-918-8273	496 West Green Hague Freeway	Riverside	NC	0	1	60
24	(728) 557-1996	909 Rocky Clarendon Boulevard	Norfolk	FL	1	1	
25	130-581-5115	83 Second Blvd.	Austin	AR	1	1	45
26	(894) 716-6512	48 Oak Freeway	Philadelphia	MO	1	1	45
27	(557) 324-2986	976 Green Fabien Blvd.	Phoenix	GA	1	1	30
28	(770) 535-4196	79 West New Boulevard	Indianapolis	MS	1	1	60
29	646-382-4827	45 Rocky Clarendon Road	Charlotte	NY	1	1	60
30	649-177-4171	20 New Drive	Madison	IA	1	1	45
31	054-388-3622	523 White Second Freeway	Grand Rapids	FL	1	0	60
32	218-315-1852	39 Cowley Blvd.	Virginia Beach	CO	1	1	30
33	945-080-4541	25 West First Street	Cleveland	CT	0	1	45
34	138-907-3986	38 Rocky Cowley Street	Nashville	UT	1	1	30
35	451-018-0019	742 South White New Way	Dallas	WI	1	1	45
36	722-569-0527	81 Hague Drive	New York	TX	1	0	
37	153-904-3314	36 White Old Avenue	Shreveport	TX	1	1	30
38	(377) 335-7602	182 Cowley Road	Mobile	NC	1	1	30
39	(558) 117-6796	47 First Parkway	Memphis	MT	1	1	45
40	980-564-8136	562 West Old Parkway	Anchorage	MO	1	1	
41	(873) 972-5839	17 Hague Street	Minneapolis	NJ	0	0	60
42	(001) 361-5863	543 White Nobel Blvd.	Fresno	MA	0	1	30
43	(769) 066-3271	973 Clarendon St.	Seattle	NM	1	0	30
44	328-162-0624	72 West White Cowley Blvd.	Mesa	AK	1	1	
45	140-590-8898	763 South Oak Parkway	Grand Rapids	OH	1	0	
46	(699) 004-0925	112 White Fabien Way	Anaheim	KS	1	0	45
47	(632) 667-1155	34 Clarendon Avenue	San Diego	IA	1	1	45
48	(407) 411-6049	154 White New Way	Milwaukee	MT	0	1	
49	(403) 912-5314	985 White Milton Drive	Wichita	PA	1	1	
50	(786) 908-2809	464 West Clarendon Avenue	Lubbock	PA	0	0	45
51	720-184-8569	154 Rocky Oak Road	Cleveland	IL	1	1	60
52	(432) 733-3994	137 Green Nobel St.	Stockton	ND	1	0	
53	(850) 387-2434	313 First Boulevard	Albuquerque	NV	1	0	60
54	(918) 886-6014	466 South White Fabien Freeway	New York	AR	0	1	30
55	(817) 801-4653	897 North Rocky Second Parkway	Fort Worth	CO	0	0	
56	(077) 978-1951	693 East White Milton St.	Cleveland	OK	1	0	45
57	807-784-7563	690 East Rocky First Parkway	Spokane	TN	1	1	45
58	614-757-3943	130 East Oak Boulevard	Spokane	NJ	1	1	45
59	(071) 314-8753	34 Oak St.	Bakersfield	CA	1	1	30
60	016-115-5042	97 Fabien Street	Corpus Christi	LA	1	1	45
61	(683) 771-4904	71 North Green Hague Way	Garland	SD	1	0	60
62	(279) 878-3819	154 Clarendon Street	Tampa	NE	1	0	30
63	(202) 747-3258	34 Fabien Freeway	Richmond	PA	1	1	45
64	665-937-1035	40 Hague Avenue	Baltimore	WY	1	0	30
65	(551) 617-7967	36 Clarendon Way	Portland	NE	1	1	
66	(477) 975-2497	30 North Hague Boulevard	Austin	VT	1	1	30
67	(917) 324-0726	44 Old Road	San Antonio	MD	0	1	60
68	(861) 953-2453	474 North Green New Freeway	Anaheim	KS	1	1	60
69	279-914-2431	58 Oak Boulevard	Baton Rouge	DE	1	0	45
70	707-428-3685	84 Green Milton Road	Buffalo	IA	0	1	
71	(826) 255-7261	46 Milton Freeway	Colorado	AZ	0	0	
72	379-866-6297	773 Old Parkway	Tacoma	OK	1	1	60
73	(420) 097-7391	98 South First Drive	Phoenix	WI	0	1	
74	(346) 362-7075	59 Cowley Avenue	Newark	GA	1	1	
75	531-507-1319	76 Oak Road	Des Moines	OH	1	1	45
76	(968) 528-6634	618 East Fabien Parkway	Riverside	WY	1	1	30
77	(506) 003-2460	57 Rocky Cowley Way	Nashville	UT	0	1	30
78	230-186-2096	489 White Milton Avenue	Colorado	DE	1	1	
79	740-799-6683	24 Green Second Freeway	Fort Wayne	AZ	1	0	
80	(340) 509-5934	58 North White Clarendon Avenue	Kansas	ME	1	1	45
81	(764) 296-3537	45 Second Boulevard	Stockton	ND	1	0	60
82	646-717-9417	158 Rocky Old Way	Boston	NV	1	0	30
83	(917) 744-1300	166 Green Oak Street	Jackson	MD	1	1	30
84	041-185-2570	508 South First St.	New Orleans	LA	1	0	
85	603-518-8004	334 White Fabien Avenue	Dallas	WI	1	1	60
86	227-107-3366	559 Second Way	Jersey	WY	0	1	
87	925-753-0557	84 Cowley Boulevard	Rochester	NV	1	1	60
88	607-199-7096	312 Cowley Freeway	Memphis	MT	1	0	
89	(698) 201-5371	405 South White Second St.	Fremont	ID	1	1	30
90	(111) 288-6059	84 West Rocky Old Avenue	Anchorage	MT	1	1	45
91	457-325-6657	59 East Green New Boulevard	Rochester	NV	0	0	60
92	538-698-8543	65 Oak Avenue	Wichita	PA	1	0	45
93	(384) 222-6680	95 New Blvd.	Long Beach	TN	1	0	60
94	(458) 097-1528	698 White Milton Avenue	Fresno	MA	1	1	30
95	(726) 918-1155	74 Milton St.	Philadelphia	MO	0	1	45
96	711-471-6033	95 Second Road	Newark	GA	1	1	45
97	680-042-0703	870 Milton Avenue	Miami	NY	1	1	30
98	(368) 124-3643	344 Green First St.	Raleigh	NJ	0	1	
99	657-572-1243	66 West Hague Way	San Jose	AL	1	1	
100	(135) 558-1813	467 Green Oak Street	Des Moines	RI	1	1	30
101	438-787-0474	241 Rocky Second St.	Shreveport	VT	1	1	
102	(560) 908-1371	142 East White Hague Way	Riverside	WY	1	0	45
103	384-058-3764	240 West Hague Freeway	Kansas	NH	1	1	30
104	303-184-7436	664 White Hague Avenue	Jersey	VT	1	1	30
105	149-211-0448	93 North Old Way	Charlotte	WA	0	0	30
106	(231) 327-0607	918 Nobel Blvd.	Detroit	KY	1	1	
107	(109) 745-7015	235 South Oak Blvd.	Colorado	MD	0	1	45
108	(086) 663-2735	525 White Milton Boulevard	Madison	SC	1	0	30
109	435-830-5017	82 Hague St.	Seattle	ND	1	1	30
110	(503) 851-9605	333 New Parkway	Madison	IA	1	1	30
111	(710) 654-4560	25 Green Nobel Freeway	Miami	WA	0	1	
112	(352) 499-4571	96 New St.	Norfolk	NY	0	1	30
113	384-842-0906	32 South Milton Road	Miami	WA	1	0	60
114	670-407-4214	579 East Green Fabien Boulevard	Newark	DE	1	0	
115	744-510-1326	447 Rocky Nobel Street	Fremont	ID	1	0	60
116	428-175-4968	48 West Rocky Oak Freeway	Colorado	AZ	1	1	30
117	421-765-4517	470 North White Clarendon Parkway	Louisville	AK	0	1	60
118	(675) 279-4339	286 Old Way	Baton Rouge	GA	1	1	30
119	(958) 511-1792	152 South White New Street	Fort Wayne	DE	1	0	60
120	(826) 649-4968	922 New Street	El Paso	OH	1	0	60
121	880-547-6319	20 West Milton Street	Fort Worth	UT	1	0	30
122	678-203-7935	77 North First Freeway	Dallas	OK	1	1	
123	(190) 199-7269	26 Clarendon St.	Phoenix	GA	1	0	60
124	(522) 511-0658	140 White New Way	Aurora	NY	0	0	60
125	003-357-3389	419 New Freeway	Rochester	OR	0	0	45
126	063-935-7790	743 Oak Street	Columbus	IL	1	0	60
127	(841) 022-8566	860 Clarendon Street	Jacksonville	MI	0	1	60
128	(987) 286-2295	296 Green Oak Boulevard	Honolulu	WI	0	0	45
129	(360) 439-1596	467 Cowley Street	Tucson	MI	1	0	
130	(776) 176-9382	50 Oak Boulevard	Birmingham	WY	1	1	60
131	293-073-5318	612 Clarendon Freeway	Detroit	VA	1	1	
132	616-737-6533	648 North Fabien Blvd.	St. Paul	CT	1	1	45
133	664-556-2462	619 White Cowley Road	Honolulu	GA	1	0	
134	221-852-7244	906 Oak Freeway	Anaheim	HI	1	1	60
135	271-895-9023	815 Cowley Blvd.	Minneapolis	NV	1	1	60
136	(919) 311-4053	70 Nobel Parkway	Boston	CO	1	1	45
137	(816) 880-3940	631 South Rocky Second Way	Omaha	AZ	1	0	60
138	(210) 187-3905	45 New Way	Wichita	AK	1	0	45
139	301-659-3156	275 East Milton Parkway	Fort Worth	CO	1	0	60
140	(891) 081-9924	47 White New Road	Atlanta	MN	1	0	30
141	(770) 110-8834	39 Hague Avenue	Dayton	OK	1	1	60
142	(890) 427-8748	703 North Green Nobel Way	Dallas	OK	1	0	60
143	012-460-0141	686 Fabien Blvd.	Philadelphia	FL	1	1	45
144	(129) 464-9798	95 Second Freeway	Sacramento	CA	1	1	30
145	938-491-5006	918 West Second Street	Lincoln	MN	1	1	
146	(880) 813-7830	48 Green Hague Freeway	Baltimore	VT	1	0	45
147	153-087-3074	98 White Clarendon Street	Jackson	MD	1	1	60
148	(685) 321-7694	59 South Milton Blvd.	Chicago	MI	1	1	
149	509-314-7465	74 Rocky Oak St.	Akron	RI	0	0	60
150	(595) 799-3663	82 White New Boulevard	Louisville	AK	1	0	
151	865-831-1212	890 White Clarendon Drive	Boston	WV	1	1	45
152	001-706-0570	249 Oak Avenue	Kansas	ME	1	1	45
153	(737) 352-8060	961 Rocky Oak Freeway	Virginia Beach	CO	1	1	45
154	833-938-5857	790 Old Blvd.	Lubbock	PA	1	1	
155	(608) 055-5184	93 North Hague Street	Tulsa	HI	1	1	45
156	(201) 148-2200	732 West Green Second Parkway	Nashville	IN	1	1	60
157	783-114-1703	55 New Freeway	Arlington	KS	1	1	45
158	716-980-7868	34 Rocky Old Drive	Hialeah	KS	1	1	
159	(768) 819-8322	606 Green Second Way	Arlington	CA	1	1	
160	846-789-6509	39 Old Parkway	Baltimore	VT	1	1	45
161	(148) 940-9055	21 Rocky Milton Parkway	Shreveport	TX	0	1	30
162	(222) 165-1913	891 White Hague Avenue	San Diego	AL	1	1	60
163	929-765-4931	199 New Parkway	Minneapolis	OR	1	1	45
164	(461) 798-3377	734 South Fabien St.	Phoenix	DE	0	1	45
165	291-445-1784	17 New Way	Garland	IA	1	1	
166	(723) 328-7860	58 West Cowley Street	Oklahoma	ND	1	1	30
167	950-870-8878	72 New Street	Detroit	MN	1	0	30
168	444-486-0735	80 Milton Blvd.	Jacksonville	TN	1	0	60
